Location,Lat,Long,Depth
LS_BFC_01,33.44508,-118.48351,1
LS_BFC_02,33.44514,-118.48406,13.21
LS_BFC_03,33.44522,-118.48445,26.31
LS_BFC_04,33.44461,-118.48386,1
LS_BFC_05,33.44484,-118.48424,15.33
LS_BFC_06,33.44493,-118.48454,25.89
LS_BFC_07,33.44424,-118.4842,1
LS_BFC_08,33.44441,-118.48448,14
LS_BFC_09,33.44457,-118.48477,24
LS_BFC_10,33.44387,-118.4846,1
LS_BFC_11,33.44404,-118.48488,11.15
LS_BFC_12,33.44424,-118.48528,18.8
LS_BFC_13,33.44357,-118.48584,1
LS_BFC_14,33.44392,-118.4856,13.6
LS_BFC_15,33.44435,-118.48575,23.4
LS_BFC_16,33.44471,-118.48531,39.5
LS_BFC_17,33.4452,-118.484805,42.8
LS_BFC_18,33.444693,-118.484038,6.31
LS_BFC_19,33.444435,-118.484246,7.27
LS_BFC_20,33.444055,-118.484691,10.46
LS_BFC_21,33.443599,-118.485171,5
LS_BFC_22,33.445085,-118.483706,4.38
